SSL pretraining | backbone=resnet50 | method=dino | epochs=300
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_dino_v3_0.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  --resume: restored resnet50 at epoch 77/300 (global_step=42966).
  [ep 94 step 52950] loss=0.9200 feat_std=0.0129 lr=0.00015 m=0.99691
  [ep 94 step 53000] loss=0.9579 feat_std=0.0129 lr=0.00015 m=0.99691
  [ep 95 step 53050] loss=0.9587 feat_std=0.0128 lr=0.00015 m=0.99691
  [ep 95 step 53100] loss=0.9462 feat_std=0.0130 lr=0.00015 m=0.99691
  [ep 95 step 53150] loss=0.9360 feat_std=0.0131 lr=0.00015 m=0.99692
  [ep 95 step 53200] loss=0.9522 feat_std=0.0129 lr=0.00015 m=0.99692
  [ep 95 step 53250] loss=1.0074 feat_std=0.0130 lr=0.00015 m=0.99692
  [ep 95 step 53300] loss=0.9828 feat_std=0.0130 lr=0.00015 m=0.99692
  [ep 95 step 53350] loss=1.0377 feat_std=0.0131 lr=0.00015 m=0.99692
  [ep 95 step 53400] loss=0.9974 feat_std=0.0129 lr=0.00015 m=0.99692
  [ep 95 step 53450] loss=0.8585 feat_std=0.0128 lr=0.00015 m=0.99692
  [ep 95 step 53500] loss=0.9756 feat_std=0.0129 lr=0.00015 m=0.99693
  [ep 95 step 53550] loss=0.9122 feat_std=0.0130 lr=0.00015 m=0.99693
  [ep 96 step 53600] loss=0.9882 feat_std=0.0129 lr=0.00015 m=0.99693
  [ep 96 step 53650] loss=1.1581 feat_std=0.0125 lr=0.00015 m=0.99693
  [ep 96 step 53700] loss=0.9701 feat_std=0.0129 lr=0.00015 m=0.99693
  [ep 96 step 53750] loss=0.9226 feat_std=0.0127 lr=0.00015 m=0.99693
  [ep 96 step 53800] loss=0.9690 feat_std=0.0127 lr=0.00015 m=0.99694
  [ep 96 step 53850] loss=0.9151 feat_std=0.0130 lr=0.00015 m=0.99694
  [ep 96 step 53900] loss=0.8551 feat_std=0.0131 lr=0.00015 m=0.99694
  [ep 96 step 53950] loss=0.9499 feat_std=0.0128 lr=0.00015 m=0.99694
  [ep 96 step 54000] loss=0.9019 feat_std=0.0130 lr=0.00015 m=0.99694
  [ep 96 step 54050] loss=1.1531 feat_std=0.0130 lr=0.00015 m=0.99694
  [ep 96 step 54100] loss=0.8588 feat_std=0.0129 lr=0.00015 m=0.99695
  [ep 97 step 54150] loss=0.9252 feat_std=0.0129 lr=0.00015 m=0.99695
  [ep 97 step 54200] loss=1.0063 feat_std=0.0129 lr=0.00015 m=0.99695
  [ep 97 step 54250] loss=0.9291 feat_std=0.0129 lr=0.00015 m=0.99695
  [ep 97 step 54300] loss=0.9946 feat_std=0.0127 lr=0.00015 m=0.99695
  [ep 97 step 54350] loss=0.9067 feat_std=0.0131 lr=0.00015 m=0.99695
  [ep 97 step 54400] loss=0.8379 feat_std=0.0130 lr=0.00015 m=0.99695
  [ep 97 step 54450] loss=0.8440 feat_std=0.0130 lr=0.00015 m=0.99696
  [ep 97 step 54500] loss=0.8843 feat_std=0.0131 lr=0.00015 m=0.99696
  [ep 97 step 54550] loss=0.9402 feat_std=0.0130 lr=0.00015 m=0.99696
  [ep 97 step 54600] loss=0.8421 feat_std=0.0130 lr=0.00015 m=0.99696
  [ep 97 step 54650] loss=1.0293 feat_std=0.0130 lr=0.00015 m=0.99696
  [ep 98 step 54700] loss=0.9573 feat_std=0.0129 lr=0.00015 m=0.99696
  [ep 98 step 54750] loss=0.8562 feat_std=0.0131 lr=0.00015 m=0.99697
  [ep 98 step 54800] loss=0.8451 feat_std=0.0129 lr=0.00015 m=0.99697
  [ep 98 step 54850] loss=0.9256 feat_std=0.0130 lr=0.00015 m=0.99697
  [ep 98 step 54900] loss=0.9910 feat_std=0.0131 lr=0.00015 m=0.99697
  [ep 98 step 54950] loss=1.0244 feat_std=0.0128 lr=0.00015 m=0.99697
  [ep 98 step 55000] loss=0.9250 feat_std=0.0130 lr=0.00015 m=0.99697
  [ep 98 step 55050] loss=0.8678 feat_std=0.0131 lr=0.00015 m=0.99698
  [ep 98 step 55100] loss=0.8544 feat_std=0.0132 lr=0.00015 m=0.99698
  [ep 98 step 55150] loss=0.9167 feat_std=0.0130 lr=0.00015 m=0.99698
  [ep 98 step 55200] loss=0.8561 feat_std=0.0130 lr=0.00015 m=0.99698
  [ep 99 step 55250] loss=0.9840 feat_std=0.0130 lr=0.00015 m=0.99698
  [ep 99 step 55300] loss=0.9259 feat_std=0.0130 lr=0.00015 m=0.99698
  [ep 99 step 55350] loss=0.8190 feat_std=0.0129 lr=0.00015 m=0.99699
  [ep 99 step 55400] loss=0.9332 feat_std=0.0128 lr=0.00015 m=0.99699
  [ep 99 step 55450] loss=0.9318 feat_std=0.0129 lr=0.00015 m=0.99699
  [ep 99 step 55500] loss=1.0135 feat_std=0.0127 lr=0.00015 m=0.99699
  [ep 99 step 55550] loss=0.9451 feat_std=0.0129 lr=0.00015 m=0.99699
  [ep 99 step 55600] loss=0.7970 feat_std=0.0130 lr=0.00015 m=0.99699
  [ep 99 step 55650] loss=0.8921 feat_std=0.0129 lr=0.00015 m=0.99700
  [ep 99 step 55700] loss=0.8992 feat_std=0.0131 lr=0.00015 m=0.99700
  [ep 99 step 55750] loss=0.9222 feat_std=0.0129 lr=0.00015 m=0.99700
  [ep 100 step 55800] loss=0.8846 feat_std=0.0131 lr=0.00015 m=0.99700
