SSL pretraining | backbone=resnet50 | method=dino | epochs=300
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_dino_v3_0.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  [ep 18 step 10450] loss=2.0027 feat_std=0.0117 lr=0.00019 m=0.99604
  [ep 18 step 10500] loss=1.9205 feat_std=0.0120 lr=0.00019 m=0.99604
  [ep 18 step 10550] loss=1.8766 feat_std=0.0121 lr=0.00019 m=0.99604
  [ep 18 step 10600] loss=2.0135 feat_std=0.0117 lr=0.00019 m=0.99604
  [ep 19 step 10650] loss=1.7753 feat_std=0.0121 lr=0.00019 m=0.99604
  [ep 19 step 10700] loss=1.8924 feat_std=0.0118 lr=0.00019 m=0.99604
  [ep 19 step 10750] loss=1.8779 feat_std=0.0118 lr=0.00019 m=0.99604
  [ep 19 step 10800] loss=1.9751 feat_std=0.0117 lr=0.00019 m=0.99604
  [ep 19 step 10850] loss=1.9348 feat_std=0.0117 lr=0.00019 m=0.99604
  [ep 19 step 10900] loss=1.7647 feat_std=0.0119 lr=0.00019 m=0.99604
  [ep 19 step 10950] loss=1.9413 feat_std=0.0119 lr=0.00019 m=0.99604
  [ep 19 step 11000] loss=1.8913 feat_std=0.0121 lr=0.00019 m=0.99604
  [ep 19 step 11050] loss=1.8249 feat_std=0.0123 lr=0.00019 m=0.99604
  [ep 19 step 11100] loss=1.8630 feat_std=0.0119 lr=0.00019 m=0.99604
  [ep 19 step 11150] loss=1.8154 feat_std=0.0119 lr=0.00019 m=0.99604
  [ep 20 step 11200] loss=1.8090 feat_std=0.0121 lr=0.00019 m=0.99604
  [ep 20 step 11250] loss=1.8184 feat_std=0.0119 lr=0.00019 m=0.99604
  [ep 20 step 11300] loss=1.7116 feat_std=0.0120 lr=0.00019 m=0.99604
  [ep 20 step 11350] loss=1.6669 feat_std=0.0119 lr=0.00019 m=0.99605
  [ep 20 step 11400] loss=1.9475 feat_std=0.0119 lr=0.00019 m=0.99605
  [ep 20 step 11450] loss=1.8125 feat_std=0.0120 lr=0.00019 m=0.99605
  [ep 20 step 11500] loss=1.7924 feat_std=0.0122 lr=0.00019 m=0.99605
  [ep 20 step 11550] loss=1.7671 feat_std=0.0120 lr=0.00019 m=0.99605
  [ep 20 step 11600] loss=1.8600 feat_std=0.0120 lr=0.00019 m=0.99605
  [ep 20 step 11650] loss=1.8671 feat_std=0.0120 lr=0.00019 m=0.99605
  [ep 20 step 11700] loss=1.7741 feat_std=0.0122 lr=0.00019 m=0.99605
  [ep 21 step 11750] loss=1.6797 feat_std=0.0121 lr=0.00019 m=0.99605
  [ep 21 step 11800] loss=1.8095 feat_std=0.0120 lr=0.00019 m=0.99605
  [ep 21 step 11850] loss=1.7880 feat_std=0.0119 lr=0.00019 m=0.99605
  [ep 21 step 11900] loss=1.6402 feat_std=0.0123 lr=0.00019 m=0.99605
  [ep 21 step 11950] loss=1.8602 feat_std=0.0123 lr=0.00019 m=0.99605
  [ep 21 step 12000] loss=1.7492 feat_std=0.0119 lr=0.00019 m=0.99605
  [ep 21 step 12050] loss=1.6595 feat_std=0.0122 lr=0.00019 m=0.99605
  [ep 21 step 12100] loss=1.8330 feat_std=0.0120 lr=0.00019 m=0.99605
  [ep 21 step 12150] loss=1.6044 feat_std=0.0122 lr=0.00019 m=0.99605
  [ep 21 step 12200] loss=1.7956 feat_std=0.0119 lr=0.00019 m=0.99605
  [ep 21 step 12250] loss=1.7342 feat_std=0.0122 lr=0.00019 m=0.99605
  [ep 22 step 12300] loss=1.6138 feat_std=0.0120 lr=0.00019 m=0.99605
  [ep 22 step 12350] loss=1.7032 feat_std=0.0122 lr=0.00019 m=0.99605
  [ep 22 step 12400] loss=1.5832 feat_std=0.0119 lr=0.00019 m=0.99605
  [ep 22 step 12450] loss=1.5753 feat_std=0.0123 lr=0.00019 m=0.99605
  [ep 22 step 12500] loss=1.6510 feat_std=0.0121 lr=0.00019 m=0.99605
  [ep 22 step 12550] loss=1.5671 feat_std=0.0123 lr=0.00019 m=0.99606
  [ep 22 step 12600] loss=1.6584 feat_std=0.0119 lr=0.00019 m=0.99606
  [ep 22 step 12650] loss=1.7503 feat_std=0.0119 lr=0.00019 m=0.99606
  [ep 22 step 12700] loss=1.6316 feat_std=0.0121 lr=0.00019 m=0.99606
  [ep 22 step 12750] loss=1.8262 feat_std=0.0121 lr=0.00019 m=0.99606
  [ep 22 step 12800] loss=1.7660 feat_std=0.0121 lr=0.00019 m=0.99606
  [ep 23 step 12850] loss=1.6067 feat_std=0.0119 lr=0.00019 m=0.99606
  [ep 23 step 12900] loss=1.6181 feat_std=0.0122 lr=0.00019 m=0.99606
  [ep 23 step 12950] loss=1.6676 feat_std=0.0121 lr=0.00019 m=0.99606
  [ep 23 step 13000] loss=1.7417 feat_std=0.0120 lr=0.00019 m=0.99606
  [ep 23 step 13050] loss=1.5973 feat_std=0.0122 lr=0.00019 m=0.99606
  [ep 23 step 13100] loss=1.7380 feat_std=0.0121 lr=0.00019 m=0.99606
  [ep 23 step 13150] loss=1.5675 feat_std=0.0121 lr=0.00019 m=0.99606
  [ep 23 step 13200] loss=1.7637 feat_std=0.0120 lr=0.00019 m=0.99606
  [ep 23 step 13250] loss=1.6443 feat_std=0.0122 lr=0.00019 m=0.99606
  [ep 23 step 13300] loss=1.6447 feat_std=0.0120 lr=0.00019 m=0.99606
  [ep 23 step 13350] loss=1.7187 feat_std=0.0121 lr=0.00019 m=0.99606
  [ep 24 step 13400] loss=1.6284 feat_std=0.0119 lr=0.00019 m=0.99606
  [ep 24 step 13450] loss=1.6097 feat_std=0.0121 lr=0.00019 m=0.99606
  [ep 24 step 13500] loss=1.6644 feat_std=0.0122 lr=0.00019 m=0.99606
  [ep 24 step 13550] loss=1.6162 feat_std=0.0120 lr=0.00019 m=0.99606
  [ep 24 step 13600] loss=1.5507 feat_std=0.0121 lr=0.00019 m=0.99606
  [ep 24 step 13650] loss=1.6432 feat_std=0.0118 lr=0.00019 m=0.99607
  [ep 24 step 13700] loss=1.6664 feat_std=0.0121 lr=0.00019 m=0.99607
  [ep 24 step 13750] loss=1.6791 feat_std=0.0121 lr=0.00019 m=0.99607
  [ep 24 step 13800] loss=1.7233 feat_std=0.0118 lr=0.00019 m=0.99607
  [ep 24 step 13850] loss=1.6006 feat_std=0.0119 lr=0.00019 m=0.99607
  [ep 24 step 13900] loss=1.5285 feat_std=0.0121 lr=0.00019 m=0.99607
  [ep 25 step 13950] loss=1.5742 feat_std=0.0121 lr=0.00019 m=0.99607
  [ep 25 step 14000] loss=1.6239 feat_std=0.0120 lr=0.00019 m=0.99607
  [ep 25 step 14050] loss=1.6271 feat_std=0.0120 lr=0.00019 m=0.99607
  [ep 25 step 14100] loss=1.6643 feat_std=0.0122 lr=0.00019 m=0.99607
  [ep 25 step 14150] loss=1.5665 feat_std=0.0120 lr=0.00019 m=0.99607
  [ep 25 step 14200] loss=1.6468 feat_std=0.0118 lr=0.00019 m=0.99607
  [ep 25 step 14250] loss=1.6248 feat_std=0.0121 lr=0.00019 m=0.99607
  [ep 25 step 14300] loss=1.7155 feat_std=0.0120 lr=0.00019 m=0.99607
  [ep 25 step 14350] loss=1.6380 feat_std=0.0119 lr=0.00019 m=0.99607
  [ep 25 step 14400] loss=1.6378 feat_std=0.0121 lr=0.00019 m=0.99607
  [ep 25 step 14450] loss=1.7280 feat_std=0.0123 lr=0.00019 m=0.99607
  [ep 25 step 14500] loss=1.5104 feat_std=0.0124 lr=0.00019 m=0.99607
  [ep 26 step 14550] loss=1.6767 feat_std=0.0122 lr=0.00019 m=0.99607
