SSL pretraining | backbone=efficientnet_b3 | method=mocov2 | epochs=50
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_continual_v4_0.yaml', 'configs/ssl_continual_v4_0_eff.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=False | feature_dim=1536
  [ep 5 step 9050] loss=5.8376 feat_std=0.0216 lr=0.00037 m=0.99611
  [ep 5 step 9100] loss=5.8649 feat_std=0.0216 lr=0.00037 m=0.99612
  [ep 5 step 9150] loss=5.8502 feat_std=0.0216 lr=0.00037 m=0.99612
  [ep 5 step 9200] loss=6.1450 feat_std=0.0214 lr=0.00037 m=0.99612
  [ep 5 step 9250] loss=5.9612 feat_std=0.0216 lr=0.00037 m=0.99612
  [ep 5 step 9300] loss=5.8744 feat_std=0.0217 lr=0.00037 m=0.99612
  [ep 5 step 9350] loss=5.9037 feat_std=0.0216 lr=0.00037 m=0.99612
  [ep 5 step 9400] loss=5.9796 feat_std=0.0216 lr=0.00037 m=0.99612
  [ep 5 step 9450] loss=5.7985 feat_std=0.0216 lr=0.00037 m=0.99612
  [ep 5 step 9500] loss=5.6985 feat_std=0.0216 lr=0.00037 m=0.99613
  [ep 5 step 9550] loss=5.9464 feat_std=0.0216 lr=0.00037 m=0.99613
  [ep 5 step 9600] loss=5.8687 feat_std=0.0217 lr=0.00037 m=0.99613
  [ep 5 step 9650] loss=5.8721 feat_std=0.0215 lr=0.00037 m=0.99613
  [ep 5 step 9700] loss=5.9276 feat_std=0.0215 lr=0.00037 m=0.99613
  [ep 5 step 9750] loss=5.6818 feat_std=0.0219 lr=0.00037 m=0.99613
  [ep 5 step 9800] loss=5.7641 feat_std=0.0218 lr=0.00037 m=0.99613
  [ep 5 step 9850] loss=5.7224 feat_std=0.0218 lr=0.00037 m=0.99614
  [ep 5 step 9900] loss=5.9118 feat_std=0.0216 lr=0.00037 m=0.99614
  [ep 5 step 9950] loss=5.8223 feat_std=0.0217 lr=0.00037 m=0.99614
  [ep 5 step 10000] loss=5.7032 feat_std=0.0217 lr=0.00037 m=0.99614
  [ep 6 step 10050] loss=5.7013 feat_std=0.0216 lr=0.00037 m=0.99614
  [ep 6 step 10100] loss=5.6846 feat_std=0.0218 lr=0.00037 m=0.99614
  [ep 6 step 10150] loss=5.8308 feat_std=0.0216 lr=0.00037 m=0.99614
  [ep 6 step 10200] loss=5.8527 feat_std=0.0215 lr=0.00037 m=0.99614
  [ep 6 step 10250] loss=5.6798 feat_std=0.0217 lr=0.00037 m=0.99615
  [ep 6 step 10300] loss=5.8177 feat_std=0.0215 lr=0.00037 m=0.99615
  [ep 6 step 10350] loss=5.5802 feat_std=0.0216 lr=0.00037 m=0.99615
  [ep 6 step 10400] loss=5.8393 feat_std=0.0218 lr=0.00037 m=0.99615
  [ep 6 step 10450] loss=5.7364 feat_std=0.0217 lr=0.00037 m=0.99615
  [ep 6 step 10500] loss=5.7519 feat_std=0.0216 lr=0.00037 m=0.99615
  [ep 6 step 10550] loss=5.7265 feat_std=0.0216 lr=0.00037 m=0.99615
  [ep 6 step 10600] loss=5.6699 feat_std=0.0217 lr=0.00037 m=0.99616
