SSL pretraining | backbone=resnet50 | method=mocov2 | epochs=300
Configs: ['configs/default.yaml', 'configs/ssl_pretrain.yaml', 'configs/_win_local.yaml', 'configs/ssl_moco_v2_0.yaml']
  Disjointness OK — SSL=53576 (26788 patients) vs train=35126 (17563 patients)
  Corpus images: 53576
  Device=cuda | AMP=True | feature_dim=2048
  [ep 25 step 14000] loss=5.1271 feat_std=0.0093 lr=0.01118 m=0.99607
  [ep 25 step 14050] loss=5.1532 feat_std=0.0091 lr=0.01117 m=0.99607
  [ep 25 step 14100] loss=5.1453 feat_std=0.0092 lr=0.01117 m=0.99607
  [ep 25 step 14150] loss=5.0767 feat_std=0.0093 lr=0.01117 m=0.99607
  [ep 25 step 14200] loss=5.0749 feat_std=0.0091 lr=0.01117 m=0.99607
  [ep 25 step 14250] loss=5.0677 feat_std=0.0091 lr=0.01117 m=0.99607
  [ep 25 step 14300] loss=5.0203 feat_std=0.0092 lr=0.01117 m=0.99607
  [ep 25 step 14350] loss=5.0891 feat_std=0.0093 lr=0.01117 m=0.99607
  [ep 25 step 14400] loss=5.0540 feat_std=0.0091 lr=0.01117 m=0.99607
  [ep 25 step 14450] loss=5.0460 feat_std=0.0093 lr=0.01117 m=0.99607
  [ep 25 step 14500] loss=5.0737 feat_std=0.0093 lr=0.01117 m=0.99607
  [ep 26 step 14550] loss=5.0364 feat_std=0.0094 lr=0.01116 m=0.99607
